id,condition,prompt,gold,prediction,correct,fluency
1,L1EN,What is the capital of Japan? Answer in English only.,Tokyo,Tokyo,5,
2,L1EN,Compute 247 + 58. Give only the final number in English digits.,305,Two hundred forty-seven plus fifty-eight equals three hundred twenty-five.,5,
3,L1EN,Is 113 a prime number? Answer with 'prime' or 'composite'.,prime,Composite,4,
4,L1EN,Sort these numbers in ascending order: 7,9'.,"The number 7 is already in ascending order, as it is the smallest of the numbers you provided. If you have more numbers to sort, I can help with that too!",5,
5,L1EN,Convert 5 kilometers to meters. Return only the number.,5000,5000 (meters),5,
6,L1EN,Convert 25°C to Fahrenheit. Return only the integer.,77,77 (rounded down),3,
7,L1EN,Count the vowels in the word 'Education'. Return only the number.,5,"The word 'Education' contains 3 vowels: E, U, and A.",4,
8,L1EN,Reverse the letters of 'CAT'.,TAC,The reversed letters of 'CAT' are 'TAC'.,3,
9,L1EN,Classify the sentiment of the sentence 'I love this movie' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,4,
10,L1EN,Extract the country code from this phone number: +91 98765 00000. Return only the digits.,91,The country code for the given phone number is 91.,5,
11,L1EN,Find the minimum of these numbers: 12,In numbers me se sabse chhota batao: 12,"The number you provided, 12, is already a single number. Since it's not a set or a collection of numbers, there's no need to find the minimum as 12 is the only number in this case. If you meant a different scenario where 12 is one of several numbers",4,
12,L1EN,Compute the average of 4 and 10. Return only the number.,7,The average of 4 and 10 is 7.,4,
13,L1EN,What is the capital of Australia? Answer in English only.,Canberra,The capital city of Australia is Canberra.,5,
14,L1EN,Is 0 even or odd? Return 'even' or 'odd'.,even,0 is an even number.,3,
15,L1EN,Convert 7:05 PM to 24-hour format HH:MM.,19:05,The time 7:05 PM in 24-hour format is 19:05.,3,
16,L1EN,Multiply 13 × 4. Return only the final number.,52,The result of multiplying 13 by 4 is 52.,3,
17,L1EN,What is the next calendar date after 2025-02-28? Use YYYY-MM-DD.,2025-03-01,"The next calendar date after February 28, 2025, does not exist because there is no March 1 in a leap year when February has only 28 days. The next day following February 28 would be March 2 in a non-leap year (February",4,
18,L1EN,How many words are in 'Hello world from AI'? Return only the number.,4,There are 7 words in 'Hello world from AI'.,4,
19,L1EN,Find the longest word in 'red blue purple'. Return only the word.,purple,The longest word in 'red blue purple' is 'purple'.,5,
20,L1EN,Return the first three letters of 'Elephant'.,Ele,The first three letters of 'Elephant' are 'Elp'.,4,
1,L2MR,जपानची राजधानी कोणती? उत्तर फक्त इंग्रजीत द्या.,Tokyo,Japan's capital city is Tokyo. (Fact in English: Japan's capital city is Tokyo.),5,
