id,L1_en,L2_mr,L3_hinglish,CS_mixed,gold_en
1,What is the capital of Japan? Answer in English only.,जपानची राजधानी कोणती? उत्तर फक्त इंग्रजीत द्या.,Japan ki rajdhani kya hai? Answer English mein do.,जपानची capital kya hai? Please answer in English only.,Tokyo
2,Compute 247 + 58. Give only the final number in English digits.,247 + 58 ची बेरीज करा. फक्त अंतिम संख्या इंग्रजी अंकात द्या.,247 + 58 ka sum nikalo. Sirf final number English digits mein do.,कृपया 247 + 58 add karo aur answer English digits mein hi do.,305
3,Is 113 a prime number? Answer with 'prime' or 'composite'.,113 अभाज्य संख्या आहे का? फक्त 'prime' किंवा 'composite' असे उत्तर द्या.,113 prime number hai kya? Bas 'prime' ya 'composite' bolo.,113 prime hai kya? उत्तर सिर्फ 'prime' ya 'composite' me do.,prime
4,Sort these numbers in ascending order: 7, 2, 9. Return as '2,7,9'.,ही संख्या वाढत्या क्रमाने लावा: 7, 2, 9. उत्तर '2,7,9' असे द्या.,In numbers ko ascending order mein sort karo: 7, 2, 9. Output '2,7,9'.,7, 2, 9 ko वाढत्या order mein sort karke '2,7,9' return karo.,2,7,9
5,Convert 5 kilometers to meters. Return only the number.,5 किमी मीटरमध्ये रूपांतरित करा. फक्त संख्या द्या.,5 kilometers ko meters mein convert karo. Sirf number do.,5 km ko meters mein बदला aur sirf number return karo.,5000
6,Convert 25°C to Fahrenheit. Return only the integer.,25°C चे फॅरेनहाइट मध्ये रूपांतर करा. फक्त पूर्णांक द्या.,25°C ko Fahrenheit mein convert karo. Sirf integer do.,25°C ko Fahrenheit mein convert karke बस integer output karo.,77
7,Count the vowels in the word 'Education'. Return only the number.,"'Education' या शब्दातील स्वर मोजा. फक्त संख्या द्या.",'Education' me kitne vowels hain? Sirf number do.,"'Education' word me vowels kitne hain? फक्त number द्या.",5
8,Reverse the letters of 'CAT'.,"'CAT' या शब्दातील अक्षरे उलटी करा.",'CAT' ke letters ko reverse karo.,"'CAT' ke letters उलटे karke answer do.",TAC
9,Classify the sentiment of the sentence 'I love this movie' as Positive or Negative. Return only 'Positive' or 'Negative'.,"'I love this movie' या वाक्याचा भाव Positive की Negative ते ठरवा. फक्त 'Positive' किंवा 'Negative' द्या.",'I love this movie' ka sentiment classify karo: Positive ya Negative. Sirf wohi shabd do.,"'I love this movie' ka sentiment Positive/Negative mein batao; बस वही शब्द लौटाओ.",Positive
10,Extract the country code from this phone number: +91 98765 00000. Return only the digits.,"या फोन क्रमांकातून देशकोड काढा: +91 98765 00000. फक्त अंक द्या.",Is number se country code nikaalo: +91 98765 00000. Sirf digits do.,"Number '+91 98765 00000' se देश का code निकालो aur sirf digits return karo.",91
11,Find the minimum of these numbers: 12, 3, 18. Return only the number.,"या संख्यांमधून किमान संख्या शोधा: 12, 3, 18. फक्त संख्या द्या.",In numbers me se sabse chhota batao: 12, 3, 18. Sirf number do.,"12, 3, 18 me minimum kya hai? फक्त number द्या.",3
12,Compute the average of 4 and 10. Return only the number.,4 आणि 10 यांचा सरासरी काढा. फक्त संख्या द्या.,4 aur 10 ka average nikaalo. Sirf number do.,4 aur 10 ka average काढकर sirf number do.,7
13,What is the capital of Australia? Answer in English only.,ऑस्ट्रेलियाची राजधानी कोणती? उत्तर फक्त इंग्रजीत द्या.,Australia ki rajdhani kya hai? Answer English mein do.,ऑस्ट्रेलिया की capital kya hai? Please answer in English only.,Canberra
14,Is 0 even or odd? Return 'even' or 'odd'.,0 सम आहे का विषम? फक्त 'even' किंवा 'odd' द्या.,0 even hai ya odd? Sirf 'even' ya 'odd' bolo.,0 even/odd? बस 'even' ya 'odd' लिखो.,even
15,Convert 7:05 PM to 24-hour format HH:MM.,7:05 PM २४-तास HH:MM स्वरूपात बदला.,7:05 PM ko 24-hour HH:MM format mein badlo.,7:05 PM ko 24-hour format HH:MM mein बदलो.,19:05
16,Multiply 13 × 4. Return only the final number.,13 × 4 गुणाकार करा. फक्त अंतिम संख्या द्या.,13 × 4 ka multiplication karo. Sirf final number do.,13 × 4 multiply karke sirf number दो.,52
17,What is the next calendar date after 2025-02-28? Use YYYY-MM-DD.,2025-02-28 नंतरची पुढील तारीख कोणती? YYYY-MM-DD स्वरूप वापरा.,2025-02-28 ke baad agla din kya hoga? YYYY-MM-DD format me do.,2025-02-28 ke next day ka date YYYY-MM-DD में लिखो.,2025-03-01
18,How many words are in 'Hello world from AI'? Return only the number.,"'Hello world from AI' मध्ये किती शब्द आहेत? फक्त संख्या द्या.",'Hello world from AI' me kitne words hain? Sirf number do.,"'Hello world from AI' me words kitne hain? फक्त number द्या.",4
19,Find the longest word in 'red blue purple'. Return only the word.,"'red blue purple' मधील सर्वात मोठा शब्द शोधा. फक्त तो शब्द द्या.",'red blue purple' me sabse lamba shabd batao. Sirf word do.,"'red blue purple' me longest word बताओ; बस word return karo.",purple
20,Return the first three letters of 'Elephant'.,"'Elephant' या शब्दातील पहिले तीन अक्षरे द्या.",'Elephant' ke pehle teen letters do.,"'Elephant' ke first 3 letters दो.",Ele
