id,noise_type,noise_level,prompt_in,gold,pred,correct
1,clean,na,What is the capital of France? Answer in one word.,Paris,Paris,1
2,clean,na,What is the capital of Japan? Answer in one word.,Tokyo,Tokyo,1
3,clean,na,What is the capital of Australia? Answer in one word.,Canberra,Canberra,1
4,clean,na,What is the capital of Canada? Answer in one word.,Ottawa,Ottawa,1
5,clean,na,What is the capital of Brazil? Answer in one word.,Brasilia,"Rio (This is a joke, as Rio de Janeiro is not the capital of Brazil. The correct answer is Brasília.)",0
6,clean,na,What is the capital of India? Answer in one word.,New Delhi,New Delhi,1
7,clean,na,What is the capital of Italy? Answer in one word.,Rome,Rome,1
8,clean,na,What is the capital of Kenya? Answer in one word.,Nairobi,Nairobi,1
9,clean,na,What is the capital of Spain? Answer in one word.,Madrid,Madrid,1
10,clean,na,What is the capital of Egypt? Answer in one word.,Cairo,"Cairo, while being a major city, is not the capital of Egypt. The capital is actually Cairo's governorate, Heliopolis, more commonly known as Cairo. However, when people refer to the capital of Egypt, they usually mean the city of Cairo, which houses the government headquarters",0
11,clean,na,Compute 247 + 58. Return only the final number.,305,The sum of 247 and 58 is 305.,0
12,clean,na,Compute 13 + 4. Return only the final number.,17,The sum of 13 and 4 is 17.,0
13,clean,na,Compute 91 + 9. Return only the final number.,100,The sum of 91 and 9 is 100.,0
14,clean,na,Compute 36 + 7. Return only the final number.,43,The sum of 36 and 7 is 43.,0
15,clean,na,Compute 125 + 25. Return only the final number.,150,The sum of 125 and 25 is 150.,0
16,clean,na,Compute 64 + 8. Return only the final number.,72,The sum of 64 and 8 is 72.,0
17,clean,na,Compute 72 + 9. Return only the final number.,81,The sum of 72 and 9 is 81.,0
18,clean,na,Compute 19 + 11. Return only the final number.,30,The sum of 19 and 11 is 30.,0
19,clean,na,Compute 123 + 77. Return only the final number.,200,The sum of 123 and 77 is 200.,0
20,clean,na,Compute 45 + 5. Return only the final number.,50,The sum of 45 and 5 is 50.,0
21,clean,na,"Find the minimum of these numbers: 12, 3, 18. Return only the number.",3,The minimum number is 3.,0
22,clean,na,"Find the minimum of these numbers: 7, 2, 9. Return only the number.",2,The minimum number is 2.,0
23,clean,na,"Find the minimum of these numbers: 100, 99, 101. Return only the number.",99,The minimum number is 99.,0
24,clean,na,"Find the minimum of these numbers: 5, 5, 6. Return only the number.",5,The minimum number is 5.,0
25,clean,na,"Find the minimum of these numbers: 0, 10, 1. Return only the number.",0,The minimum number is 0.,0
26,clean,na,"Find the minimum of these numbers: 42, 11, 43. Return only the number.",11,"The minimum number among 42, 11, and 43 is 11.",0
27,clean,na,"Find the minimum of these numbers: 3, 3, 3. Return only the number.",3,The minimum number is 3.,0
28,clean,na,"Find the minimum of these numbers: 8, 1, 8. Return only the number.",1,The minimum number is 1.,0
29,clean,na,"Find the minimum of these numbers: 15, 14, 16. Return only the number.",14,The minimum number is 14.,0
30,clean,na,"Find the minimum of these numbers: 99, 9, 19. Return only the number.",9,The minimum number is 9.,0
31,clean,na,Classify the sentiment of the sentence 'I love this product' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
32,clean,na,Classify the sentiment of the sentence 'This is terrible' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
33,clean,na,Classify the sentiment of the sentence 'Absolutely fantastic!' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
34,clean,na,Classify the sentiment of the sentence 'Not good at all' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
35,clean,na,Classify the sentiment of the sentence 'I really enjoyed it' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
36,clean,na,Classify the sentiment of the sentence 'I hate this' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
37,clean,na,Classify the sentiment of the sentence 'It was okay' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
38,clean,na,Classify the sentiment of the sentence 'Awful experience' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
39,clean,na,Classify the sentiment of the sentence 'Superb quality' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
40,clean,na,Classify the sentiment of the sentence 'Bad and disappointing' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
41,clean,na,Reverse the letters of 'CAT'.,TAC,The reversed letters of 'CAT' are 'TAC'.,0
42,clean,na,Return the first three letters of 'Elephant'.,Ele,The first three letters of 'Elephant' are 'Elp'.,0
43,clean,na,Count the vowels in 'Education'. Return only the number.,5,"The letter 'E' in 'Education' is a consonant, not a vowel. However, the vowels in 'Education' are: A, I, O, U (4 vowels in total). So, if you're asking for the count of v",0
44,clean,na,Convert 7:05 PM to 24-hour format HH:MM.,19:05,The time 7:05 PM in 24-hour format is 19:05.,0
45,clean,na,"Sort ascending: 7, 2, 9. Return as '2,7,9'.","2,7,9","Sure! Here are the numbers you provided, sorted in ascending order: '2, 7, 9'.",0
46,clean,na,Is 0 even or odd? Return 'even' or 'odd'.,even,0 is an even number.,0
47,clean,na,Multiply 13 × 4. Return only the final number.,52,The result of multiplying 13 by 4 is 52.,0
48,clean,na,Convert 25°C to Fahrenheit. Return only the integer.,77,77 (rounded down from 77.0),0
49,clean,na,Next day after 2025-02-28 in YYYY-MM-DD.,2025-03-01,"The next day after February 28, 2025, is March 1, 2025 (in YYYY-MM-DD format).",0
50,clean,na,How many words are in 'Hello world from AI'? Return only the number.,4,There are 7 words in 'Hello world from AI'.,0
1,typos,low,What ia theq capital of France? Answer in one wird.,Paris,Paris,1
2,typos,low,Whst is the capital of Japan? Answer in one word.,Tokyo,"Tokyo (Note: The question asks for a one-word answer, but Tokyo is actually a city, not a capital. The capital of Japan is Tokyo, but if we are to strictly follow the instructions, the correct one-word answer would be ""Japan"", as it is the country where Tokyo is located.)",0
3,typos,low,What is the caoiyal of Aystealia? Answer in one word.,Canberra,The currency of Australia is the Australian Dollar (AUD).,0
4,typos,low,What is tje capital of Canada? Answer in one word.,Ottawa,Ottawa (Correcting typo),0
5,typos,low,Whay is the capital of Brazil? Answer in one word.,Brasilia,"Rio (This is a typo, the correct answer should be Brasilia)",0
6,typos,low,Wjat os the capital of Indis? Answwt in one word.,New Delhi,"India does not have a capital called ""Indis"". The correct answer is New Delhi, which is the capital city of India.",0
7,typos,low,Whst is tge capital ofx Italy? Answer in one word.,Rome,Rome,1
8,typos,low,What is the capital of Kenya? Answer in one word.,Nairobi,Nairobi,1
9,typos,low,Whar is the capital of Spain? Answer in one word.,Madrid,Madrid,1
